County,State,Percent Open Water,Percent Developed Open Space,Percent Developed Low Intensity,Percent Developed High Intensity,Percent Developed Medium Intensity,Percent Barren Land,Percent Deciduous Forest,Percent Evergreen Forest,Percent Mixed Forest,Percent Shrub/Scrub,Percent Grassland/Herbaceous,Percent Pasture/Hay,Percent Cultivated Crops,Percent Woody Wetlands,Percent Emergent Herbaceous Wetlands,Precipitation (in),Average Temperature (F),"Lyme Disease Cases per 100,000 Residents",White-tailed Deer Population Estimate
Worcester County,Massachusetts,3.98988,5.879645,6.202791,5.788211,2.018162,0.459813,26.29491,8.670712,22.03369,1.034799,1.020125,4.298152,0.138032,11.37465,0.796423,40.77,47.6,65,9357
Allegany County,Maryland,0.281876,5.156055,3.029284,1.585461,0.526925,0.428445,67.45618,0.782085,9.636479,0.724542,1.286322,8.596768,0.415786,0.066667,0.027127,39.53,52.6,112,8929
Anne Arundel County,Maryland,8.292934,13.52331,13.84261,8.249073,2.88148,0.256835,23.33879,0.570968,8.796566,0.71761,0.651046,4.347819,5.290835,8.494093,0.746027,48.36,57.2,19,7137
Baltimore County,Maryland,3.806463,15.5853,10.44984,7.175173,2.780278,0.220137,30.91091,0.499705,4.424751,0.402856,0.352947,12.30207,8.979959,1.714043,0.395574,48.7,54.8,27,13177
Calvert County,Maryland,3.97523,11.93917,4.394278,1.65487,0.535998,0.063335,31.87568,1.061493,20.05346,1.058044,0.577229,4.264158,8.845464,8.216814,1.484774,50.04,57.1,99,4414
Caroline County,Maryland,1.623219,5.068712,2.050512,0.822193,0.253361,0.033461,5.474838,2.15827,6.419007,0.25475,0.114707,0.312799,56.55205,18.01898,0.843146,46.02,56.3,42,7418
Carroll County,Maryland,0.900742,11.05729,4.342308,1.631115,0.564065,0.088135,22.83684,0.598093,4.33748,0.306557,0.181022,27.66113,24.08261,1.338659,0.073957,46.18,53.6,42,13887
Cecil County,Maryland,6.643829,9.599677,4.045002,2.0915,0.736235,0.50052,25.67162,0.308163,7.086073,0.770641,0.528493,13.47731,23.27904,3.804812,1.457085,48.64,55,61,8293
Charles County,Maryland,3.627676,8.297794,4.171744,1.952564,0.57365,0.189069,24.36901,3.753698,23.64518,0.964456,1.029115,4.686813,8.893266,12.26085,1.585118,46.58,57.9,13,8280
Dorchester County,Maryland,11.76258,2.800372,1.626854,0.629978,0.22716,0.053647,0.705698,4.550742,1.888196,0.510981,0.182319,0.261516,27.60919,27.85083,19.33993,47.74,57.1,21,6662
Frederick County,Maryland,0.452428,8.368028,4.960727,2.736098,0.903493,0.260528,27.23934,0.464477,6.210718,0.174035,0.310455,26.14206,20.53014,1.140237,0.107239,43.64,54,55,18954
Garrett County,Maryland,1.406656,4.456537,1.11477,0.58912,0.11397,0.534014,57.07584,1.925848,12.01737,0.929813,1.709447,14.65256,0.769524,1.489288,1.215241,47.3,48.5,10,11687
Harford County,Maryland,3.299548,12.51467,6.009254,3.364309,1.199682,0.156748,28.69376,0.207279,6.39074,0.686675,0.443478,15.52049,13.78934,5.456407,2.267613,49.69,54.5,70,9205
Howard County,Maryland,0.536771,17.30268,11.36228,6.560263,2.258415,0.215805,30.20397,0.308901,2.468736,0.322063,0.508802,19.37847,6.944983,1.429196,0.198667,49.68,54.9,62,6188
Kent County,Maryland,8.625737,4.05246,1.404272,0.604433,0.166886,0.036195,10.6932,0.426092,2.033904,0.09862,0.036997,0.468358,57.73724,11.86129,1.75431,49.09,56.2,96,8370
Montgomery County,Maryland,0.595495,19.41032,14.3528,6.495269,2.264608,0.130372,26.15221,0.293003,3.262183,0.341498,0.274589,15.17538,8.258068,2.911197,0.083565,45.24,55.3,27,12577
Prince George's County,Maryland,1.838555,13.55596,17.35307,9.861533,3.482859,0.393569,27.29744,0.820217,7.125413,0.903547,1.571531,4.674475,4.233329,6.026559,0.861953,46.68,56.9,5,6660
Queen Anne's County,Maryland,5.754418,6.345955,2.626455,1.152501,0.350425,0.024884,7.015966,0.727867,2.744389,0.133487,0.073142,1.100955,54.08535,16.64434,1.219867,47.09,56.3,68,9764
St. Mary's County,Maryland,7.724655,9.51017,3.999647,1.844675,0.723066,0.128315,13.01376,5.66297,23.16109,0.887039,0.881547,3.240292,17.06158,10.99196,1.169243,50.18,57.5,48,6729
Somerset County,Maryland,6.740528,3.895947,1.536924,0.682579,0.201507,0.094023,0.307009,8.070101,2.062449,0.41512,0.065534,0.677465,19.48036,34.53121,21.23924,49.17,58,20,7129
Talbot County,Maryland,16.08413,6.197639,2.701209,1.207144,0.391366,0.039015,3.350207,3.58927,4.713301,0.403413,0.092177,0.557373,45.97228,12.68861,2.012865,47.66,56.8,53,7529
Washington County,Maryland,0.496694,6.699896,5.846303,2.575907,1.009656,0.140707,30.92563,0.69335,9.06592,0.107488,0.23398,22.97867,18.50083,0.453897,0.271076,35,53.8,23,14004
Wicomico County,Maryland,2.089483,6.943832,4.274836,2.137098,0.93201,0.04268,1.19074,10.76601,7.280884,0.842355,0.26668,0.40066,31.59166,26.66538,4.575697,49.56,57.4,14,8062
Worcester County,Maryland,20.0223,3.921677,1.857418,1.204112,0.701112,0.817983,0.603956,6.61626,3.251386,0.314687,0.150781,0.247283,23.05373,32.71999,4.517319,50.18,57.6,0,9945
Fairfield County,Connecticut,25.09643,14.2276,10.05394,7.412212,2.978729,0.162465,28.06898,0.275671,5.315317,0.154663,0.327751,1.068948,0.080921,4.319239,0.457142,39.2,51.4,46,16426
Hartford County,Connecticut,2.162228,13.23413,13.38678,11.63158,3.597655,0.296186,27.20866,1.517092,10.22871,0.405273,0.683656,3.085699,3.391828,8.82972,0.340811,38,49.9,37,8996
Litchfield County,Connecticut,2.67915,5.877219,3.287216,1.629688,0.386524,0.160126,47.40446,2.866785,19.71907,0.494794,0.580484,6.67156,0.948509,6.830951,0.463461,40.07,47.9,108,14580
Middlesex County,Connecticut,15.8237,7.833111,5.704647,3.600172,1.025476,0.301103,47.8635,0.311633,5.44226,0.358901,0.813287,2.252611,0.532453,6.532106,1.605038,32.53,50.8,146,9907
New Haven County,Connecticut,29.77737,9.693032,9.565205,8.864429,2.878199,0.273019,27.82181,0.272173,3.248146,0.1493,0.633861,1.340358,0.420224,3.951903,1.110969,34.41,50.9,55,11315
New London County,Connecticut,13.56176,5.464777,4.785798,4.173425,1.319435,0.331186,44.34764,0.932038,7.070169,0.533976,1.16462,3.636254,1.419344,10.09346,1.166105,33.55,50.7,155,16989
Tolland County,Connecticut,1.675314,7.563213,5.48443,2.309444,0.569358,0.175392,46.92263,2.615047,14.45795,0.81069,0.491582,4.317037,2.877552,9.377741,0.352619,38.21,48.9,140,10515
Windham County,Connecticut,1.537733,5.354615,3.662709,2.12391,0.572253,0.462253,42.88915,2.94681,16.72697,0.675923,0.983869,5.159333,2.585696,13.77763,0.541138,37.91,49,168,13870
